1,0.79837,0.55735,0.22595,0.030127
1,0.82211,0.51382,0.23978,0.051382
2,0.78893,0.28927,0.52595,0.13149
3,0.69385,0.29574,0.63698,0.15925
3,0.71563,0.35231,0.56149,0.22019
1,0.78011,0.5766,0.23742,0.050877
1,0.80033,0.56023,0.20809,0.04802
1,0.76694,0.57144,0.28572,0.060152
1,0.79096,0.56949,0.22147,0.031639
3,0.69199,0.34599,0.58627,0.24027
1,0.81228,0.53611,0.22744,0.032491
2,0.72233,0.35483,0.57026,0.16474
3,0.65388,0.34251,0.62274,0.25948
3,0.72965,0.28955,0.57909,0.22005
3,0.69805,0.33812,0.59988,0.19633
3,0.69255,0.30375,0.6075,0.243
2,0.76263,0.34187,0.52595,0.15779
1,0.80533,0.54831,0.22275,0.034269
2,0.78667,0.35883,0.48305,0.13801
1,0.80003,0.53915,0.26088,0.034784
1,0.80598,0.52152,0.26866,0.079017
1,0.81734,0.51462,0.25731,0.030272
2,0.75385,0.31525,0.54825,0.17818
3,0.69194,0.32562,0.60036,0.23404
3,0.72713,0.26661,0.60594,0.18178
1,0.80251,0.55989,0.20529,0.018663
2,0.69333,0.38519,0.57778,0.19259
1,0.79595,0.5537,0.24224,0.034606
2,0.7326,0.3603,0.55246,0.16814
3,0.72156,0.32309,0.56001,0.2477
3,0.67017,0.36168,0.59571,0.2553
3,0.6959,0.34795,0.57629,0.25009
2,0.73923,0.37588,0.52623,0.18794
1,0.80377,0.55161,0.22064,0.031521
3,0.7309,0.30454,0.58878,0.16242
2,0.78258,0.38362,0.46034,0.16879
2,0.75519,0.33929,0.5363,0.16417
3,0.71367,0.28351,0.6159,0.17597
1,0.82512,0.52808,0.19803,0.033005
1,0.77965,0.58091,0.22931,0.045862
2,0.76467,0.31487,0.53977,0.15743
2,0.77012,0.3535,0.505,0.16412
2,0.76923,0.30769,0.53846,0.15385
2,0.74089,0.33174,0.5529,0.18799
3,0.68619,0.3167,0.61229,0.23225
2,0.74143,0.29422,0.57667,0.17653
3,0.72785,0.32871,0.5635,0.21131
1,0.81609,0.5336,0.21972,0.031388
1,0.77611,0.54975,0.30721,0.032338
3,0.68308,0.34154,0.59769,0.24396
