3,0.38462,0.38182,0.28736,-0.17355,0.50769,0.45455,0.32632,-0.015625,0.5,0.5534,0.32632,-0.015625,0.32308,0.4,0.30526,-0.104,0.4375,0.6699,0.62105,0.046875,0.56923,0.6699,0.62105,0.046875,0.47692,0.63462,0.42222,0.04,0.63077,0.74757,0.55789,0.125,0.63077,0.74757,0.68421,0.125
7,-0.26154,-0.29091,-0.56322,-0.60331,-0.26154,-0.21818,-0.53684,-0.51562,-0.03125,-0.029126,-0.24211,-0.45312,-0.13846,-0.27273,-0.57895,-0.584,-0.375,-0.30097,-0.57895,-0.54688,-0.26154,-0.2233,-0.57895,-0.54688,-0.10769,-0.19231,-0.46667,-0.552,-0.23077,-0.24272,-0.64211,-0.60938,-0.23077,-0.24272,-0.55789,-0.5625
7,-0.10769,-0.16364,-0.33333,-0.47107,-0.10769,-0.018182,-0.24211,-0.39062,-0.125,-0.029126,-0.32632,-0.4375,-0.10769,-0.12727,-0.47368,-0.52,-0.125,0.0097087,-0.38947,-0.46875,-0.015385,0.0097087,-0.22105,-0.40625,-0.13846,-0.076923,-0.46667,-0.472,-0.26154,-0.12621,-0.49474,-0.48438,-0.26154,-0.067961,-0.43158,-0.48438
5,-0.35385,-0.38182,-0.31034,-0.32231,-0.35385,-0.45455,-0.38947,-0.35938,-0.59375,-0.47573,-0.47368,-0.35938,-0.63077,-0.50909,-0.34737,-0.264,-0.65625,-0.59223,-0.34737,-0.21875,-0.72308,-0.70874,-0.49474,-0.28125,-0.6,-0.5,-0.42222,-0.28,-0.47692,-0.49515,-0.36842,-0.29688,-0.69231,-0.57282,-0.45263,-0.29688
1,-0.23077,-0.054545,-0.011494,-0.20661,-0.35385,0.018182,0.052632,-0.1875,-0.375,0.087379,-0.031579,-0.125,-0.26154,-0.12727,-0.031579,-0.136,-0.15625,0.087379,0.13684,-0.09375,-0.38462,0.087379,0.052632,-0.15625,-0.16923,-0.15385,-0.24444,-0.216,-0.26154,0.0097087,-0.031579,-0.125,-0.16923,0.24272,0.13684,-0.015625
1,-0.44615,0.10909,0.1954,-0.10744,-0.35385,0.10909,0.15789,-0.09375,-0.46875,0.26214,0.073684,-0.09375,-0.56923,0.054545,0.010526,-0.136,-0.46875,0.20388,0.17895,-0.09375,-0.35385,0.30097,0.094737,-0.09375,-0.47692,0.076923,0.11111,-0.168,-0.47692,0.24272,0.13684,-0.125,-0.35385,0.24272,0.13684,-0.125
3,0.66154,0.69091,0.74713,0.12397,0.66154,0.6,0.55789,0.125,0.53125,0.53398,0.34737,0.015625,0.38462,0.6,0.36842,0.104,0.5,0.70874,0.47368,0.14062,0.26154,0.63107,0.36842,0.015625,0.38462,0.63462,0.6,0.12,0.38462,0.72816,0.51579,0.09375,0.13846,0.65049,0.43158,-0.015625
5,-0.13846,-0.2,-0.33333,-0.47107,-0.26154,-0.2,-0.32632,-0.4375,-0.375,-0.35922,-0.26316,-0.26562,-0.10769,-0.23636,-0.41053,-0.424,-0.25,-0.32039,-0.32632,-0.39062,-0.35385,-0.37864,-0.15789,-0.26562,-0.23077,-0.21154,-0.26667,-0.392,-0.35385,-0.33981,-0.30526,-0.35938,-0.47692,-0.41748,-0.38947,-0.35938
7,0.13846,-0.018182,-0.14943,-0.47107,0.015385,-0.090909,-0.41053,-0.4375,0,0.048544,-0.41053,-0.4375,-0.10769,-0.054545,-0.30526,-0.392,-0.03125,-0.067961,-0.30526,-0.40625,-0.015385,0.0097087,-0.22105,-0.35938,-0.015385,-0.076923,-0.22222,-0.392,-0.015385,0.0097087,-0.34737,-0.40625,0.10769,0.0097087,-0.26316,-0.40625
4,0.23077,0.16364,-0.14943,-0.42149,0.23077,0.10909,-0.094737,-0.39062,0.21875,0.24272,-0.094737,-0.32812,0.2,0.10909,-0.010526,-0.296,0.3125,0.18447,-0.010526,-0.3125,0.2,0.26214,-0.010526,-0.3125,0.26154,0.28846,-0.022222,-0.312,0.26154,0.30097,-0.073684,-0.32812,0.26154,0.20388,-0.15789,-0.39062
5,-0.38462,-0.4,-0.14943,-0.17355,-0.38462,-0.45455,-0.010526,-0.10938,-0.40625,-0.41748,-0.010526,-0.10938,-0.44615,-0.47273,-0.094737,-0.024,-0.46875,-0.43689,-0.010526,0.015625,-0.56923,-0.43689,-0.010526,-0.046875,-0.44615,-0.46154,-0.022222,-0.072,-0.44615,-0.45631,-0.15789,-0.15625,-0.44615,-0.45631,-0.24211,-0.21875
2,-0.90769,-0.94545,0.88506,0.93388,-0.90769,-0.94545,0.68421,0.76562,-0.8125,-0.94175,0.55789,0.65625,-0.84615,-0.96364,0.55789,0.824,-0.875,-0.86408,0.66316,0.78125,-0.84615,-0.86408,0.55789,0.78125,-0.84615,-0.96154,0.91111,0.872,-0.84615,-0.92233,0.81053,0.76562,-0.84615,-0.92233,0.81053,0.71875
1,-0.26154,0.4,0.35632,-0.024793,-0.38462,0.4,0.30526,-0.015625,-0.40625,0.41748,0.13684,-0.1875,-0.38462,0.30909,0.34737,-0.024,-0.28125,0.39806,0.34737,-0.046875,-0.26154,0.39806,0.26316,-0.10938,-0.35385,0.34615,0.53333,0.04,-0.26154,0.63107,0.45263,0.0625,-0.26154,0.53398,0.45263,-0.046875
3,0.56923,0.32727,0.26437,-0.20661,0.56923,0.4,0.22105,-0.125,0.5625,0.41748,0.052632,-0.1875,0.47692,0.30909,0.073684,-0.136,0.46875,0.39806,0.15789,-0.15625,0.35385,0.39806,0.073684,-0.15625,0.41538,0.44231,0.22222,-0.184,0.41538,0.35922,0.073684,-0.20312,0.32308,0.35922,0.073684,-0.26562
7,-0.015385,-0.090909,-0.14943,-0.4876,-0.015385,-0.018182,-0.32632,-0.45312,-0.03125,0.048544,-0.32632,-0.45312,-0.046154,-0.054545,-0.41053,-0.536,0.0625,0.0097087,-0.32632,-0.4375,-0.046154,0.0097087,-0.32632,-0.48438,-0.10769,-0.038462,-0.37778,-0.488,-0.10769,-0.029126,-0.49474,-0.5,-0.10769,-0.1068,-0.41053,-0.5
4,0.32308,0.25455,0.08046,-0.2562,0.32308,0.32727,-0.031579,-0.1875,0.3125,0.33981,0.13684,-0.23438,0.35385,0.23636,0.073684,-0.2,0.34375,0.39806,0.073684,-0.15625,0.23077,0.32039,0.073684,-0.15625,0.41538,0.34615,0.22222,-0.184,0.32308,0.26214,0.073684,-0.20312,0.32308,0.26214,0.073684,-0.26562
1,-0.13846,0.52727,0.4023,0.0082645,-0.13846,0.52727,0.45263,0.015625,-0.28125,0.63107,0.55789,0.015625,-0.10769,0.52727,0.36842,0.104,-0.125,0.63107,0.36842,0.078125,-0.23077,0.63107,0.57895,0.14062,-0.015385,0.53846,0.51111,0.072,-0.015385,0.65049,0.51579,0.046875,-0.10769,0.65049,0.51579,0.09375
5,-0.44615,-0.54545,-0.42529,-0.35537,-0.66154,-0.65455,-0.41053,-0.26562,-0.59375,-0.57282,-0.32632,-0.4375,-0.35385,-0.38182,-0.30526,-0.344,-0.5,-0.47573,-0.30526,-0.29688,-0.47692,-0.47573,-0.30526,-0.35938,-0.26154,-0.28846,-0.4,-0.472,-0.13846,-0.20388,-0.34737,-0.40625,-0.015385,-0.067961,-0.26316,-0.34375
